1,2,3,57,58,59;1,2,3,21,22,23;1,2,3,29,30,31;1,2,3,10,11,12;1,2,3,5,6,7;1;2;0.0
1,2,3,57,58,59;1,2,3,21,22,23;1,2,3,29,30,31;1,2,3,10,11,12;1,2,3,5,6,7;1;2;1.0
1,2,3,57,58,59;1,2,3,21,22,23;1,2,3,29,30,31;1,2,3,10,11,12;1,2,3,5,6,7;1;2;2.0
1,2,3,57,58,59;1,2,3,21,22,23;1,2,3,29,30,31;1,2,3,10,11,12;1,2,3,5,6,7;1;2;3.0
1,2,3,57,58,59;1,2,3,21,22,23;1,2,3,29,30,31;1,2,3,10,11,12;1,2,3,5,6,7;1;2;4.0
1,2,3,57,58,59;1,2,3,21,22,23;1,2,3,29,30,31;1,2,3,10,11,12;1,2,3,5,6,7;1;2;5.0
1,2,3,57,58,59;1,2,3,21,22,23;1,2,3,29,30,31;1,2,3,10,11,12;1,2,3,5,6,7;1;2;6.0
1,2,3,57,58,59;1,2,3,21,22,23;1,2,3,29,30,31;1,2,3,10,11,12;1,2,3,5,6,7;1;2;7.0
1,2,3,57,58,59;1,2,3,21,22,23;1,2,3,29,30,31;1,2,3,10,11,12;1,2,3,5,6,7;1;2;8.0
1,2,3,57,58,59;1,2,3,21,22,23;1,2,3,29,30,31;1,2,3,10,11,12;1,2,3,5,6,7;1;2;9.0
